Política,Deportes,Ciencia,Entretenimiento,Tecnología
El gobierno anuncia nuevas políticas de salud pública.,El equipo de fútbol local gana el campeonato.,Científicos descubren una nueva especie de dinosaurio.,Nueva película de acción se estrena en cines.,Los avances en la inteligencia artificial están transformando la industria.
El presidente firma un tratado internacional.,El tenista número uno del mundo gana su sexto Grand Slam.,Investigadores desarrollan una vacuna efectiva contra una enfermedad.,La cantante famosa lanza su nuevo álbum.,El último iPhone tiene características innovadoras.
Debate parlamentario sobre impuestos.,El equipo de baloncesto local avanza a las finales.,La NASA envía una misión a Marte.,Nueva serie de televisión se convierte en un éxito de audiencia.,Los coches eléctricos están ganando popularidad.
"Al Senado de la República llegó un proyecto de ley que busca reformar la Ley 617 del 2000, que incluye un régimen de incompatibilidades para los alcaldes. La norma señala, entre otras cosas, que los mandatarios no pueden “intervenir, en nombre propio o ajeno, en procesos o asuntos, fuera del ejercicio de sus funciones, en los cuales tenga interés el municipio”, como sería el caso de una elección de alcalde.

Para los autores de la iniciativa, es necesario incluir en dicha ley una prohibición para que los alcaldes y gobernadores que renuncien a sus cargos participen en política durante los 12 meses siguientes. La medida también aplicaría para quienes terminen de cumplir normalmente su período de gobierno.","Cada disciplina deportiva es única y especial en su propio camino, pero todas comparten la capacidad de inspirar, emocionar y unir a las personas de diferentes culturas y orígenes. A través de la natación, el tenis, el béisbol, la gimnasia, las carreras de autos y el golf, el mundo del deporte nos recuerda que la diversidad es nuestra fuerza y que el espíritu humano puede alcanzar alturas asombrosas en la búsqueda de la excelencia atlética.","Investigadores del Instituto de Ciencias Biomédicas de una prestigiosa universidad han anunciado un avance revolucionario en la lucha contra el cáncer. Han desarrollado una terapia génica innovadora que se dirige específicamente a las células cancerosas, dejando las células sanas intactas. Este enfoque prometedor podría cambiar el panorama de la oncología y ofrecer nuevas esperanzas a los pacientes en todo el mundo.","Ir a un teatro, presentar la boleta, buscar su silla y ver una película junto a un grupo de desconocidos en una sala a oscuras tiene un encanto particular. Además, es un plan fácil de hacer y que está disponible todos los días, a toda hora, y que puede hacer solo o acompañado. Ir a cine puede ser una gran idea hasta que miramos cuánto cuesta, por eso en esta nota le dejaremos consejos para ir a cine barato.
 37,7 millones de personas asistieron a cine en Colombia durante 2022. Este es el cuarto número más bajo obtenido desde el 2010, mientras que las plataformas de streaming de películas y series van tomando más fuerza. Este hecho tiene sentido, pues algunas boletas de cine pueden costar lo mismo, o incluso más, que una suscripción mensual a Netflix, Amazon Prime, HBO+, Disney+, Paramount+, entre otras.
Para incentivar que las personas asistan a cine, las principales empresas de esta industria se han unido en una iniciativa conocida como Día del Cine para poner todas sus boletas a $6.000 sin importar el multiplex, el horario o el formato de la película. La estrategia de cine barato se ha implementado dos veces en 2023 y ha sido un éxito, pero no es suficiente.
",La ciberseguridad es una preocupación creciente a medida que la tecnología avanza. La protección de datos y la privacidad en línea se han vuelto temas críticos a medida que dependemos cada vez más de la tecnología en nuestra vida diaria.
"En los casos en los que se ha suscrito un contrato de prestación de servicios a través del cual se oculta una relación de trabajo, la jurisprudencia ha sostenido que la prestación personal del trabajador y la remuneración (elementos del contrato de trabajo) se presumen por la naturaleza misma del contrato de prestación de servicios, por lo que basta con probar la continuada subordinación o dependencia hacia el presunto empleador.

En cuanto a los medios idóneos para probar la subordinación, la Corte Constitucional recordó la eficacia de la prueba indiciaria para llevar al juez al convencimiento. Puede analizarse, por ejemplo, si el trabajador debe cumplir un horario impuesto por el empleador, si la función ejercida es permanente por ser propia del giro ordinario de los negocios de la empresa o si se le aplica el reglamento interno de trabajo. No obstante, existe libertad probatoria para demostrar la subordinación a través de indicios.

Otro de los indicios que es significativo para determinar la existencia del vínculo laboral es la temporalidad del contrato, pues una de las características esenciales del contrato de prestación de servicios es su limitación en el tiempo, por lo que su objetivo debe ser claro y excepcional. Si se demuestra que la relación contractual perduró por un tiempo considerable, bien sea a través de un solo contrato o sucesivos, es posible deducir la existencia de un vínculo laboral.","En el mundo del golf, la precisión y la concentración son clave. Los golfistas se enfrentan a campos desafiantes, tratando de superar obstáculos naturales y mantener la calma bajo presión en busca de un hoyo en uno que les brinde la victoria.","En un emocionante descubrimiento, astrónomos han detectado señales de radio misteriosas provenientes de una galaxia distante. Estas señales, que se repiten en un patrón regular, plantean preguntas intrigantes sobre su origen. Algunos científicos sugieren que podrían estar relacionadas con civilizaciones extraterrestres avanzadas, aunque se necesita más investigación para confirmar esta teoría.","El survival horror es un subgénero de videojuegos que combina elementos de acción, aventura y horror. Los videojuegos de este tipo suelen enfocarse en la supervivencia del jugador, limitando los recursos y haciendo hincapié en la evasión y el escape en lugar de incentivar los combates.
Estos juegos también tienden a presentar historias oscuras y aterradoras, llenas de suspenso, que se desarrollan a medida que el jugador explora el entorno. Normalmente, los temas comunes en este género son los monstruos, el gore y lo paranormal.
Dentro del survival horror, el jugador suele tener recursos limitados (armas, municiones, salud, etc.), por lo que debe aprender a administrar bien lo que tiene para poder sobrevivir. También los enigmas y acertijos suelen ser parte fundamental de estos juegos.","l hilo de esta cuestión, hace unos meses, OpenAI, creadora de ChatGPT y GPT-4 publicó un estudio para conocer el impacto que podría tener ChatGPT y sus modelos lingüísticos en el mercado laboral estadounidense. Los resultados del análisis revelaron que “alrededor del 80 % de la mano de obra estadounidense podría ver afectado al menos el 10 % de sus tareas laborales por la introducción de los LLM (grandes modelos lingüísticos)” y que “un 19 % de trabajadores vería cómo la inteligencia artificial afectaría a, al menos, la mitad de sus tareas”."
"Se presentó una demanda de nulidad y restablecimiento del derecho contra un oficio que negó una solicitud de reconocimiento y pago de nivelación salarial durante el tiempo servido en una universidad. Mediante sentencia la Subsección A de la Sección Segunda del Consejo de Estado se confirmó la sentencia de primera instancia que negó esas pretensiones.
El actor presentó acción de tutela y afirmó que el Consejo de Estado solo tuvo en cuenta las pruebas aportadas por la demandada y omitió el análisis de las pruebas testimoniales solicitadas por el accionante, las cuales fueron decretadas y practicadas en el proceso.
Le correspondió a la Sección Tercera analizar la tutela y después de estudiar todas las pruebas encontró que se había configurado un defecto fáctico por falta de valoración de pruebas determinantes, pues en la sentencia atacada la Sección Segunda señaló que el CD que contenía los testimonios se encontraba dañado, por lo que no le fue posible escuchar las declaraciones de los testigos que menciona el accionante; agregó que, en todo caso, no había lugar a pronunciarse sobre ello porque no fue objeto de apelación.
La falta de acceso al audio de la audiencia no puede ser una carga que deba trasladarse al accionante. Para suplir esa falencia el juez debe acudir a los mecanismos establecidos en la ley para recuperar la prueba o proceder a su reconstrucción de conformidad con el artículo 126 del (CGP). La prueba de lo ocurrido en la audiencia que debe ser examinada por el juez es el CD correspondiente, no la transcripción de esta, pues se trata de un proceso oral donde la exigencia de la transcripción de la audiencia para formar un expediente escrito no aplica.
Por ello, la Sala concedió el amparo de los derechos fundamentales de acceso a la administración de justicia y debido proceso del accionante; en consecuencia, dejó sin efectos la sentencia y dispuso que la Sección Segunda adopte las medidas establecidas en la ley para recuperar la grabación de la audiencia en la cual obran los testimonios y, en cualquier caso, garantizar el derecho fundamental a la prueba del accionante.
Una vez obtenida o en caso de que deba ser reconstruida la prueba se debe proferir una nueva sentencia teniendo en cuenta dicho testimonio, sin que ello implique que el juez deba de manera automática acceda a las pretensiones de la demanda, sino que, en el marco de sus competencias, decida lo que en derecho corresponda en cumplimiento de su deber de analizar de manera total y conjunta las pruebas allegadas al proceso","El rugido de los motores es la banda sonora de las carreras de autos, donde pilotos intrépidos compiten por la gloria en circuitos de todo el mundo. Desde la Fórmula 1 hasta las emocionantes carreras de rally, el automovilismo es una expresión de velocidad y destreza.","Un equipo internacional de científicos ha logrado crear un material superconductor a temperatura ambiente. Este avance pionero podría revolucionar la industria de la energía, ya que permitiría la transmisión de electricidad sin pérdida de energía, lo que podría llevar a una mayor eficiencia en la generación y distribución de energía eléctrica.","¿Quién no ha jugado alguna vez a un videojuego? El objetivo principal de los videojuegos es el entretenimiento, ya sea para adultos o para los más pequeños de la casa. En el mercado actual hay una gran variedad, por ello os contamos todo sobre los tipos de videojuegos para la PS4 y PS3.

De forma generalizada, los videojuegos recrean entornos y situaciones virtuales en los que el videojugador puede controlar a uno o varios personajes (o cualquier otro elemento de dicho entorno), para conseguir uno o varios objetivos 
Acción: de lucha y peleas. Basados en ejercicios de repetición (por ejemplo, pulsar un botón para que el personaje ejecute una acción).
Arcade: plataformas, laberintos, aventuras. El usuario debe superar pantallas para seguir jugando. Imponen un ritmo rápido y requieren tiempos de reacción mínimos. Por ejemplo el juego de The last of us ps4 de Sony en la que el usuario desempeña el papel de un superviviente. Tiene que hacer frente a feroces infectados y despiadados bandidos humanos.
Deportivo: fútbol, tenis, baloncesto y conducción. Recrean diversos deportes. Requieren habilidad, rapidez y precisión. Como el nba 2k14 ps3 de Sony de baloncesto.
Estrategia: aventuras, rol, juegos de guerra…Consisten en trazar una estrategia para superar al contrincante. Exigen concentración, saber administrar recursos, pensar y definir estrategias.
Simulación: aviones, simuladores de una situación o instrumentales… Permiten experimentar e investigar el funcionamiento de máquinas, fenómenos, situaciones y asumir el mando.
Juegos de mesa: habilidad, preguntas y respuestas…La tecnología informática que sustituye al material tradicional del juego y hasta al adversario.
Juegos musicales: juegos que inducen a la interacción del jugador con la música y cuyo objetivo es seguir los patrones de una canción. Como puede ser el caso del juego de la voz para ps3 en el que las la letra de la canción aparecen en pantalla junto a unas barras que nos indican cómo estamos cantando, si nos estamos acercando al tono de la canción y la puntuación que estamos consiguiendo","Y qué opina la inteligencia artificial del futuro de los animales en el planeta Tierra? ¿Qué especies cree que están en peligro? Para ChatGPT “las especies en mayor peligro de extinción varían según una serie de factores, incluyendo su estado actual, el entorno en el que viven y las amenazas a las que están expuestas”. Sin embargo, la inteligencia artificial reconoce que hay ciertas categorías de animales que a menudo están en mayor riesgo de extinción."
"Un periodista tuteló a la Sala Especial de Primera Instancia de la Corte Suprema de Justicia al considerar vulnerados sus derechos fundamentales de acceso a la información pública, a la libertad de información y de expresión y los propios de la actividad periodística por la negativa de suministrarle informes, anexos y audios de interceptaciones relacionados con un proceso penal en el que fue condenado el exrepresentante a la Cámara Roberto José Herrera Díaz, por los delitos de concierto para delinquir agravado, en concurso heterogéneo con tráfico de influencias y enriquecimiento ilícito de servidor público.
La Sala analizó cada uno de los derechos denunciados como vulnerados y explicó cuáles eran las premisas que se desprenden como elementos constitutivos del derecho a la libertad de expresión, en su vertiente de acceso libre a la información. Con ello dejó claro que la determinación que deniega el acceso a la información pública debe gozar de una justificación cualificada, tanto desde el punto de vista probatorio como desde el argumental en torno a que, por la eventual entrega de los datos, existe un riesgo real, probable y específico de dañar el interés protegido y que este sería significativo, carga hermenéutica que no existe en la decisión denunciada.
Manifestó que el velo de reserva de la etapa de averiguación resultó difuminado ante la sentencia que puso fin a ese asunto y es claro que no existe postulado legal expreso que restrinja el acceso a la información que sirvió de base para tal propósito.
Lo cierto es que toda esa información fue el fundamento para la emisión de la providencia condenatoria y, en esa medida, no se advierte en qué manera su divulgación pueda afectar la seguridad pública o la prevención, investigación y persecución de los delitos, pues su publicación no alteraría en nada su contenido.

Finalmente, se precisó que el estudiado derecho a la libertad de información, de cara a las futuras y eventuales publicaciones que derivadas de esos datos efectúe el periodista, han de plegarse a los principios de veracidad e imparcialidad, según los cuales, con antelación, habrá de realizar un esfuerzo previo y razonable de constatación, contrastación y, de ser del caso, de confirmación de la información","La gimnasia es un deporte que combina gracia y fuerza, donde los atletas desafían la gravedad en barras paralelas y ejecutan acrobacias en el suelo. Figuras como Simone Biles han elevado la gimnasia artística a nuevas alturas, inspirando a jóvenes gimnastas a perseguir sus sueños con pasión y dedicación.",Un estudio reciente publicado en una destacada revista científica revela que el cambio climático está afectando la migración de las aves en todo el mundo. Las aves migratorias están alterando sus rutas y tiempos de migración en respuesta a los cambios en las temperaturas y los patrones climáticos. Este hallazgo destaca la importancia de abordar el cambio climático para proteger la vida silvestre.,"Terminaron los rumores sobre posibles conciertos de Karol G en Colombia y ahora se convirtieron en anuncios muy esperados por los seguidores de la cantante paisa. Las palabras del exalcalde de Medellín, Daniel Quintero, y el anuncio de la alcaldesa de Bogotá, Claudia López, fueron el anticipo del anuncio oficial.

Desde hace un buen tiempo, mientras 'la Bichota' se pasea por Estados Unidos y llena estadios con el 'Mañana será bonito tour', se especulaba con posibles presentaciones en su país de origen. Pero todo se quedaba en simples especulaciones, ya que la agenda de la artista está bastante movida y a los conciertos se le suman compromisos en premios, estrenos, galas y demás apariciones públicas fuera de Colombia.
Por ahora, estas son las únicas fechas que tiene Karol G para presentarse en Colombia, sin embargo, serán bastantes las paradas de esta gira en otros países de Latinoamérica. Y las largas pausas entre uno y otro pueden dar para que haya varias presentaciones en la misma ciudad o se anexen otras sedes
Aunque todavía no se han confirmado de forma oficial los precios para las boletas en los conciertos que realizará en Bogotá, varios seguidores hicieron cuentas respecto a lo que costó su último en show
","El futuro promete avances aún más emocionantes, desde la exploración espacial hasta la realidad aumentada, que continuarán dando forma a la sociedad y la vida cotidiana."
"El Consejo Superior de la Judicatura implementó un plan de recuperación de servicios digitales de la Rama Judicial, como respuesta al ataque cibernético contra IFX Networks, para contribuir al normal funcionamiento de la administración de justicia.
Como el aplicativo SIRNA se encuentra operativo, se levantó la suspensión de términos de las siguientes actuaciones administrativas de la Unidad de Registro Nacional de Abogados y Auxiliares de la Justicia","En el béisbol, el choque de un bate contra una pelota es música para los oídos de los aficionados. Los estadios llenos de seguidores animan a sus equipos favoritos mientras los lanzadores lanzan curvas desconcertantes y los bateadores intentan conectar un cuadrangular que los lleve al éxito.","Científicos de la Agencia Espacial Internacional (AEI) han anunciado el descubrimiento de un nuevo exoplaneta en la zona habitable de una estrella similar al Sol. Este exoplaneta, denominado ""AEI-452b"", presenta condiciones que podrían ser adecuadas para la existencia de agua líquida y, posiblemente, vida. Este hallazgo emocionante podría tener implicaciones significativas en la búsqueda de vida extraterrestre.","Deportes acuáticos. Los deportes de agua son una opción clara y divertida de cosas que pueden hacer los adultos en la playa para salir de la rutina. La lista es larga, con actividades más aventureras y otras más tranquilas: surf, buceo, submarinismo, esnórquel, natación, flysurf, waterpolo, moto acuática...
Paracaidismo o ala delta. Si buscas cosas para no aburrirte este verano en la playa, puedes dar otro paso y apostar por algo más atrevido, como surcar los cielos haciendo paracaidismo o con un ala delta, por ejemplo. Recuerda que la playa no es solo agua y arena...
Alquilar un barco, con o sin licencia. Tener una licencia de navegación te permitirá llevar embarcaciones de cualquier potencia, pero también puedes pasártelo bien en el caso contrario: los barcos sin licencia son una muy buena forma de disfrutar (o sufrir un poco, según la habilidad de cada uno) con tus amigos.
Ponerte en forma. Llevas varios veranos prometiéndote no dejarte llevar demasiado, pero este es sin duda el definitivo: pasar unas vacaciones en la playa no tiene por qué suponer ganar varios kilos y perder la forma. Ponte unas zapatillas deportivas y sal a correr por la arena o por el paseo marítimo; si el running no es lo tuyo, no hay excusa: también puedes hacer abdominales o flexiones en la arena o nadar varios largos en el mar.
Paseo por la arena junto al mar. Es una de las actividades playeras más típicas y tranquilas para adultos, pero también cuenta: un paseo relajado mojándote los pies te permitirá desentumecerte, refrescarte y conocer otros rincones de la playa.
Coleccionar 'tesoros de playa'. Quizá, mientras paseas, te apetezca buscar y recoger esos 'tesoros' que va dejando la playa para quien sabe valorarlos: conchas curiosas, fósiles, piedras lisas de colores... todo te puede servir para no aburrirte y, además, aprovecharlo para decorar tu casa poniéndolos en una estantería o llenando un jarrón con ellos.
Petanca. ¿Buscas juegos de playa, pero que no impliquen moverte demasiado? La clásica petanca acude en tu rescate para que no te aburras pero tampoco te canses. También puedes cambiar las normas o jugar a la versión de petanca extreme: tira el boliche lo más lejos que puedas, con todas tus fuerzas: os reiréis al ver lo que os cuesta ahora.
Leer el periódico o un libro, o hacer un crucigrama. Si aun así todo esto es mucho movimiento para ti, hay otras cosas más tranquilas que puedes hacer en la playa cuando te aburres, como leer el periódico o un libro, resolver un crucigrama, hacer una sopa de letras o terminar ese sudoku que tenías a medias.
Ver una serie o una peli. Si cuando piensas en qué llevar a la playa para no aburrirte solo se te ocurre coger el móvil y gastar datos, no pasa nada, aquí no se juzga a nadie: no romperás con la rutina ni descansarás de las pantallas, pero podrás disfrutar con esa serie o película para la que nunca tienes tiempo cuando trabajas.
Escuchar música o un podcast. Tumbarse en la toalla, cerrar los ojos, tomar el sol, sentir la brisa y escuchar un poco de música o un podcast interesante: es fácil ser feliz con poco.
Acampar... en los alrededores de la playa. Cuidado: puedes estacionar tu caravana, autocaravana o furgoneta camper, pero está prohibido acampar en la playa y en la costa. La alternativa: ir a un camping de costa o buscar áreas para autocaravanas.
Unas cervezas o cócteles en el chiringuito. Sencillo, pero refrescante: tómate una cerveza bien fría, un mojito, una capirinha o tu bebida preferida y observa tranquilamente cómo son otros adultos los que se cansan con todas esas actividades de playa.
Descansar. Sí, también cuenta como actividad. A fin de cuentas, las vacaciones en la playa también son para relajarse, tomar el sol y no hacer nada más.
","Un robot chef ha sido creado y programado para probar la comida en diferentes etapas del proceso de masticación, tal como lo hacen los humanos, y decidir si le falta o le sobra sal. El dispositivo, creado por un grupo de científicos de la Universidad de Cambridge, consiste en una sonda conectada al extremo de un brazo robótico que puede detectar los niveles de sal en los alimentos."
"subsecretario de Estado para Asuntos Antinarcóticos, conversó en La W sobre la reciente visita que hizo a Colombia, en la cual el Gobierno del presidente Gustavo Petro le presentó la nueva Política de Drogas del país.
Para iniciar, el subsecretario comentó que, en términos generales, sí está de acuerdo con la Nueva Política Nacional de Drogas, (2023-2033) ‘Sembrando vida desterramos el narcotráfico’. “Nosotros pensamos que hay muchas áreas en la nueva política en donde coincidimos como la seguridad rural, ofreciendo una mejor economía en las comunidades medianas y pequeñas; la lucha contra los crímenes ambientales, o sea hay áreas en donde coincidimos muy bien”.
Asimismo, indicó que “nosotros estamos tratando de establecer relaciones con países consumidores y productores de los químicos y de las drogas. Hay comunidades sufriendo mucho por la producción de la droga y lo que queremos establecer es un sistema global donde los países productores puede discutir y establecer reglas, tanto con las Naciones Unidas como países bilaterales”
Añadiendo que “debemos tener una discusión seria entre los países consumidores para ver desde adentro qué está pasando en nuestra sociedad, por qué la gente quiere usar esas drogas. Esto lo estamos discutiendo con Colombia y con otros países”.","La raqueta y la pelota toman el centro del escenario en el tenis, un deporte que combina velocidad, precisión y resistencia. Desde el majestuoso Wimbledon hasta el vibrante Abierto de Australia, los tenistas como Serena Williams y Roger Federer han cautivado a fanáticos de todo el mundo con sus golpes magistrales.","Investigadores en el campo de la inteligencia artificial han desarrollado un algoritmo de aprendizaje profundo que puede predecir terremotos con una precisión sorprendente. Utilizando datos sísmicos históricos, este algoritmo ha demostrado ser capaz de anticipar con semanas de antelación la ocurrencia de terremotos importantes, lo que podría ayudar a salvar vidas y mitigar daños.","Esas ansias sobre la necesidad de más experiencias en persona significa que los consumidores esperan hacer más viajes de placer y tener otras formas de entretenimiento fuera del hogar, como teatros y museos. También planean ir a los centros comerciales, incluso si compran más en línea
Asimismo, se han detectado diferencias en la intención de hacer más ejercicio y en la propensión a comer alimentos más saludables, siendo los consumidores quienes presentan una mayor inclinación a estas prácticas.
","Un equipo de investigación del Centro de Investigación de Materiales, Arquitecturas e Integración de Nanomembranas en la Universidad Tecnológica de Chemnitz, ha explorado una nueva vía para desarrollar sensores de campo magnético en tres dimensiones extremadamente sensibles y dependientes de la dirección que se pueden integrar en un sistema e-skin (es decir, piel electrónica)."
"En Colombia la ley establece que es necesario que un porcentaje de los ciudadanos mayores de edad ejerzan el día de las elecciones presidenciales y territoriales las funciones de los jurados de votación. Esta medida es obligatoria para quienes son elegidos para el cargo, puesto que permite el ejercicio de la democracia.
De esta forma, los jurados de votación garantizan que se realice la jornada de los comicios electorales y que los demás colombianos puedan ejercer su derecho al voto. En caso de que los jurados de votación no cumplan con su deber, serán sancionados.
No obstante, los jurados de votación podrán evitar las sanciones. Esto solo en caso de que tengan una excusa válida ante el Estado sobre su ausencia en las mesas de votación para cumplir con su deber.
Ahora bien, de acuerdo a la ley hay varios motivos por los que los ciudadanos pueden ser exonerados de ser jurados de votación. “Conforme al artículo 108 del Código Electoral, son causales de exoneración las siguientes: Grave enfermedad del jurado o su cónyuge, padre, madre o hijo. Muerte del jurado o de su cónyuge, padre, madre o hijo, ocurrida el día de las elecciones o dentro de los tres días anteriores de la elección. No ser residente en el lugar donde fue designado. Ser menor de 18 años. Haberse inscrito y votar en otro municipio”","Navegando por las aguas turbulentas del deporte, comenzamos con la natación, donde los atletas deslizan sus cuerpos en el agua con la elegancia de delfines. Nadadores como Michael Phelps han dejado una huella imborrable en la historia olímpica, conquistando medallas de oro en una variedad de estilos de natación.","En un laboratorio de biotecnología, se ha logrado crear con éxito un órgano humano funcional utilizando impresión 3D y células madre. Este logro podría revolucionar los trasplantes de órganos al eliminar la necesidad de donantes y reducir significativamente los tiempos de espera. Los científicos esperan que esta tecnología avance y se pueda aplicar a una variedad de órganos en el futuro.","Practicar alguna habilidad juntos .Montar un taller de cocina donde los abuelos enseñen a sus nietos sus recetas favoritas adaptadas a su nivel o con los pequeños ejerciendo de pinches será una actividad entretenida y, además, productiva. También pueden practicar otra habilidad que interese a ambos, como aprender a tocar algún instrumento.

Las manualidades son otra excelente alternativa, para que ambos desarrollen su creatividad y dotes artísticas. Pintar sobre lienzos, hacer alfarería con kits caseros, manualidades con materiales reciclados… la imaginación al poder.

Pasear o hacer una excursión
Pasear al aire libre redunda en numerosos beneficios para niños y mayores, tanto física como mentalmente. Un paseo tranquilo por un parque o una zona de la naturaleza, o incluso montar en bicicleta, reforzará su conexión, observarán la fauna y flora, compartirán anécdotas y respirarán aire puro. También es buena idea organizar una excursión en clave cultural, por ejemplo a un museo o al teatro.

Contar historias, anécdotas y conocerse en profundidad
La vida de los mayores resulta fascinante a los pequeños y siempre quieren saber más sobre sus recuerdos y anécdotas. Podéis hacer uso de un álbum de fotos para que el abuelo narre las historias detrás de cada imagen, o bien que los niños preparen entrevistas para hacer a sus abuelos sobre lo que más curiosidad les despierte. En este sentido, existen libros especiales para que los abuelos y los nietos profundicen en su relación.

Jugar a juegos de mesa
Gustan a pequeños y mayores. Los juegos de mesa –ya sean de tablero, de cartas, de ingenio o de misterio– suponen un momento de entretenimiento, risas y diversión, brindando también la oportunidad de conversar durante el juego.","En 2019, una pintura creada por inteligencia artificial, inspirada en miles de retratos pintados entre los siglos XIV y XX, se vendió por casi 500.000 dólares en una subasta. Unos meses antes, los alumnos de un prestigioso conservatorio de música tuvieron muchísimas dificultades para diferenciar las notas musicales de Johann Sebastian Bach de las creadas por un algoritmo llamado Kulitta, que había sido programado para imitar el estilo del famoso compositor. Incluso la multinacional IBM se unió a la diversión y le encargó a su sistema Watson de inteligencia artificial que analizara 9.000 recetas para diseñar sus propias ideas culinarias."
